id,order_id,temperature,weather_condition,humidity,recorded_at
1,13,28.5,Cloudy,85,"2025-06-27 08:09:44"
2,14,27.7,Hot,82,"2025-06-11 05:51:44"
3,15,25.2,Cloudy,83,"2025-10-22 01:02:44"
4,16,29.1,Sunny,77,"2025-10-08 20:32:44"
5,17,29.2,Cloudy,78,"2025-10-10 01:34:44"
6,18,27.4,Cloudy,79,"2025-08-10 23:12:44"
7,19,27.2,Rainy,78,"2025-09-10 20:53:44"
8,20,26.2,Sunny,85,"2025-09-27 19:04:44"
9,21,26.4,Cloudy,79,"2025-06-14 03:46:44"
10,22,28.1,Cloudy,83,"2025-09-28 06:18:44"
11,23,26.4,Cloudy,80,"2025-06-19 08:21:44"
12,24,26.4,Rainy,81,"2025-10-20 02:35:44"
13,25,26.6,Cool,77,"2025-11-02 19:28:44"
14,26,25.5,Rainy,83,"2025-09-17 22:07:44"
15,27,24.4,Cloudy,72,"2025-11-21 23:39:44"
16,28,30.5,Rainy,88,"2025-07-30 07:40:44"
17,29,25.3,Cloudy,81,"2025-08-08 08:32:44"
18,30,25.6,Rainy,78,"2025-08-06 05:54:44"
19,31,29.9,Sunny,83,"2025-10-19 22:13:44"
20,32,28.0,Cloudy,86,"2025-08-27 09:03:44"
21,33,26.9,Sunny,77,"2025-11-29 20:53:44"
22,34,25.6,Rainy,81,"2025-06-11 20:26:44"
23,35,29.6,Sunny,79,"2025-10-26 21:38:44"
24,36,25.9,Rainy,84,"2025-08-20 03:44:44"
25,37,25.5,Sunny,80,"2025-09-03 23:50:44"
26,38,24.4,Sunny,70,"2025-11-03 21:27:44"
27,39,24.8,Sunny,77,"2025-11-12 20:13:44"
28,40,28.0,Cloudy,80,"2025-09-08 03:16:44"
29,41,25.4,Cloudy,76,"2025-11-27 20:05:44"
30,42,28.6,Hot,83,"2025-06-11 08:44:44"
31,43,26.6,Rainy,81,"2025-08-15 19:16:44"
32,44,25.8,Cloudy,81,"2025-10-01 03:52:44"
33,45,29.0,Sunny,83,"2025-09-23 18:55:44"
34,46,27.0,Cloudy,84,"2025-07-01 21:41:44"
35,47,28.9,Cloudy,84,"2025-06-23 18:58:44"
36,48,29.5,Sunny,80,"2025-09-05 23:38:44"
37,49,27.9,Sunny,78,"2025-09-10 08:21:44"
38,50,25.6,Cool,73,"2025-11-28 23:29:44"
39,51,28.3,Rainy,85,"2025-07-16 22:00:44"
40,52,25.6,Sunny,75,"2025-09-17 02:41:44"
41,53,26.1,Sunny,76,"2025-10-19 07:04:44"
42,54,29.1,Cloudy,81,"2025-08-06 00:42:44"
43,55,29.4,Sunny,83,"2025-09-19 03:14:44"
44,56,30.4,Cloudy,83,"2025-06-19 08:14:44"
45,57,25.4,Sunny,76,"2025-09-15 01:54:44"
46,58,26.8,Cloudy,78,"2025-10-12 00:41:44"
47,59,26.6,Sunny,83,"2025-09-19 05:03:44"
48,60,28.1,Cloudy,84,"2025-06-11 08:02:44"
49,61,28.8,Sunny,80,"2025-10-29 21:22:44"
50,62,27.7,Cloudy,71,"2025-11-28 07:08:44"
51,63,27.6,Cloudy,79,"2025-08-26 20:28:44"
52,64,29.8,Cloudy,88,"2025-08-02 09:02:44"
53,65,26.7,Cloudy,84,"2025-09-06 02:35:44"
54,66,28.8,Cloudy,76,"2025-10-06 20:10:44"
55,67,27.4,Rainy,83,"2025-06-24 00:30:44"
56,68,27.7,Sunny,76,"2025-10-02 06:02:44"
57,69,29.1,Cloudy,85,"2025-07-12 03:40:44"
58,70,24.4,Cloudy,73,"2025-11-08 23:16:44"
59,71,27.6,Sunny,73,"2025-12-02 05:07:44"
60,72,30.3,Rainy,83,"2025-08-06 01:35:44"
61,73,25.1,Rainy,78,"2025-09-29 02:50:44"
62,74,28.3,Cool,72,"2025-11-18 21:52:44"
63,75,30.7,Cloudy,85,"2025-07-31 00:44:44"
64,76,27.5,Rainy,83,"2025-07-23 19:17:44"
65,77,29.4,Rainy,83,"2025-06-07 03:37:44"
66,78,30.5,Rainy,85,"2025-09-08 01:08:44"
67,79,29.4,Rainy,77,"2025-09-26 19:51:44"
68,80,25.5,Rainy,83,"2025-10-08 23:09:44"
69,81,28.7,Cloudy,79,"2025-11-28 23:49:44"
70,82,26.2,Cloudy,70,"2025-11-14 21:17:44"
71,83,27.5,Rainy,82,"2025-10-16 21:25:44"
72,84,29.0,Cloudy,82,"2025-08-21 23:09:44"
73,85,29.9,Rainy,84,"2025-07-13 23:16:44"
74,86,30.7,Rainy,78,"2025-06-15 07:48:44"
75,87,29.1,Cloudy,80,"2025-09-02 21:40:44"
76,88,30.0,Cloudy,81,"2025-08-20 21:41:44"
77,89,28.4,Rainy,81,"2025-08-09 19:18:44"
78,90,24.6,Sunny,76,"2025-11-13 23:49:44"
79,91,27.8,Rainy,82,"2025-08-30 05:27:44"
80,92,27.9,Cloudy,74,"2025-11-19 08:24:44"
81,93,28.6,Sunny,80,"2025-10-17 05:38:44"
82,94,28.5,Sunny,83,"2025-09-12 03:10:44"
83,95,30.8,Hot,80,"2025-06-11 20:02:44"
84,96,25.4,Sunny,77,"2025-10-05 06:52:44"
85,97,28.4,Rainy,85,"2025-08-19 06:23:44"
86,98,29.1,Cloudy,87,"2025-08-02 07:04:44"
87,99,25.5,Cloudy,86,"2025-08-07 23:04:44"
88,100,25.5,Cloudy,82,"2025-10-26 01:17:44"
89,101,29.8,Sunny,77,"2025-09-14 04:33:44"
90,102,28.7,Hot,82,"2025-06-29 19:47:44"
91,103,25.9,Cool,75,"2025-11-23 00:40:44"
92,104,25.7,Sunny,82,"2025-09-13 01:01:44"
93,105,27.9,Rainy,75,"2025-10-16 19:45:44"
94,106,30.1,Rainy,77,"2025-09-30 21:21:44"
95,107,29.0,Rainy,87,"2025-06-05 21:21:44"
96,108,26.4,Sunny,81,"2025-09-01 06:13:44"
97,109,30.2,Cloudy,82,"2025-08-22 18:35:44"
98,110,26.8,Cool,77,"2025-11-02 03:48:44"
99,111,28.0,Cloudy,81,"2025-08-05 06:35:44"
100,112,30.4,Rainy,84,"2025-08-28 04:49:44"
101,113,26.8,Rainy,88,"2025-06-07 04:57:44"
102,114,28.5,Hot,80,"2025-06-06 03:50:44"
103,115,27.1,Rainy,78,"2025-08-20 20:28:44"
104,116,29.8,Cloudy,78,"2025-10-19 01:51:44"
105,117,27.4,Cloudy,83,"2025-06-30 22:56:44"
106,118,22.9,Cool,72,"2025-12-03 03:16:44"
107,119,26.8,Rainy,83,"2025-08-07 06:49:44"
108,120,28.0,Sunny,77,"2025-10-30 02:28:44"
109,121,25.5,Rainy,78,"2025-10-05 18:52:44"
110,122,28.6,Cool,72,"2025-11-22 22:08:44"
111,123,27.3,Cloudy,81,"2025-10-02 05:33:44"
112,124,29.9,Rainy,78,"2025-08-06 03:02:44"
113,125,24.1,Cool,73,"2025-11-27 05:57:44"
114,126,26.6,Cloudy,84,"2025-08-06 02:16:44"
115,127,28.6,Sunny,81,"2025-10-28 18:41:44"
116,128,28.0,Rainy,80,"2025-06-17 23:59:44"
117,129,30.1,Cloudy,84,"2025-08-04 01:05:44"
118,130,27.6,Rainy,86,"2025-07-13 03:31:44"
119,131,25.8,Cloudy,80,"2025-09-22 05:13:44"
120,132,25.1,Cloudy,84,"2025-06-30 01:06:44"
121,133,26.8,Cloudy,85,"2025-07-23 18:28:44"
122,134,26.5,Cloudy,82,"2025-06-27 00:11:44"
123,135,26.7,Rainy,79,"2025-07-01 02:30:44"
124,136,26.1,Cool,79,"2025-11-11 23:54:44"
125,137,25.4,Sunny,81,"2025-10-25 04:53:44"
126,138,26.7,Cloudy,84,"2025-08-15 22:18:44"
127,139,24.4,Sunny,74,"2025-11-11 05:52:44"
128,140,27.3,Cloudy,82,"2025-07-15 04:10:44"
129,141,30.6,Hot,88,"2025-06-08 18:15:44"
130,142,27.1,Sunny,77,"2025-09-03 02:16:44"
131,143,30.0,Cloudy,84,"2025-09-16 03:03:44"
132,144,29.1,Cloudy,81,"2025-08-26 04:36:44"
133,145,25.0,Sunny,79,"2025-11-29 00:50:44"
134,146,28.7,Rainy,86,"2025-06-25 02:24:44"
135,147,29.9,Cloudy,82,"2025-09-08 07:54:44"
136,148,25.3,Cloudy,80,"2025-11-16 05:10:44"
137,149,29.5,Cloudy,87,"2025-07-05 09:04:44"
138,150,25.1,Cloudy,86,"2025-07-26 20:57:44"
139,151,24.7,Cloudy,73,"2025-11-15 01:29:44"
140,152,28.2,Rainy,76,"2025-09-10 04:43:44"
141,153,28.7,Sunny,83,"2025-10-28 08:56:44"
142,154,26.8,Rainy,81,"2025-06-11 00:19:44"
143,155,28.1,Cloudy,85,"2025-07-22 23:00:44"
144,156,30.4,Cloudy,78,"2025-09-02 08:46:44"
145,157,29.1,Rainy,79,"2025-09-27 21:58:44"
146,158,29.6,Rainy,80,"2025-08-16 07:33:44"
147,159,26.2,Rainy,79,"2025-06-16 19:15:44"
148,160,28.1,Rainy,88,"2025-08-29 21:07:44"
149,161,28.0,Cloudy,83,"2025-08-06 03:24:44"
150,162,29.1,Cloudy,80,"2025-07-31 02:15:44"
151,163,26.6,Rainy,77,"2025-10-25 19:44:44"
152,164,30.8,Cloudy,82,"2025-08-23 04:56:44"
153,165,27.1,Sunny,81,"2025-10-28 23:20:44"
154,166,28.5,Cool,76,"2025-11-01 01:28:44"
155,167,27.7,Hot,78,"2025-06-12 04:46:44"
156,168,28.8,Cloudy,88,"2025-06-13 20:27:44"
157,169,30.8,Rainy,81,"2025-06-19 07:31:44"
158,170,25.8,Sunny,71,"2025-11-16 06:00:44"
159,171,24.6,Cool,80,"2025-11-05 04:14:44"
160,172,25.4,Cool,80,"2025-11-30 04:30:44"
161,173,27.2,Rainy,87,"2025-07-05 04:17:44"
162,174,29.6,Rainy,78,"2025-09-24 22:33:44"
163,175,31.0,Hot,86,"2025-06-13 06:48:44"
164,176,28.7,Sunny,83,"2025-09-22 20:53:44"
165,177,28.9,Rainy,79,"2025-08-17 20:13:44"
166,178,25.7,Sunny,78,"2025-11-01 18:16:44"
167,179,26.0,Hot,81,"2025-06-24 01:46:44"
168,180,27.6,Rainy,80,"2025-07-13 20:33:44"
169,181,24.7,Cool,76,"2025-11-21 07:07:44"
170,182,29.7,Rainy,79,"2025-10-22 05:22:44"
171,183,27.3,Cloudy,86,"2025-07-10 22:51:44"
172,184,28.4,Rainy,87,"2025-08-23 21:00:44"
173,185,29.4,Cloudy,82,"2025-08-26 00:45:44"
174,186,28.9,Rainy,76,"2025-10-22 22:06:44"
175,187,29.4,Rainy,84,"2025-07-29 01:47:44"
176,188,26.1,Cloudy,81,"2025-07-22 07:16:44"
177,189,30.0,Cloudy,77,"2025-09-14 06:52:44"
178,190,30.6,Rainy,84,"2025-09-17 19:59:44"
179,191,26.4,Sunny,76,"2025-11-22 09:03:44"
180,192,25.9,Sunny,76,"2025-11-01 02:31:44"
181,193,24.6,Cool,75,"2025-11-07 23:26:44"
182,194,29.0,Cloudy,83,"2025-09-23 20:27:44"
183,195,27.8,Sunny,79,"2025-09-05 18:13:44"
184,196,28.3,Sunny,75,"2025-09-10 18:12:44"
185,197,30.2,Rainy,79,"2025-08-29 05:30:44"
186,198,24.6,Cool,76,"2025-11-01 21:21:44"
187,199,28.8,Rainy,86,"2025-08-18 04:34:44"
188,200,29.9,Rainy,88,"2025-08-14 18:14:44"
189,201,26.3,Cloudy,77,"2025-11-26 00:07:44"
190,202,27.0,Sunny,79,"2025-11-23 18:45:44"
191,203,25.3,Cloudy,84,"2025-09-23 07:40:44"
192,204,27.1,Cloudy,80,"2025-06-25 04:49:44"
193,205,26.3,Sunny,77,"2025-10-05 04:55:44"
194,206,25.0,Cloudy,81,"2025-07-08 23:20:44"
195,207,29.0,Cloudy,79,"2025-09-08 18:20:44"
196,208,27.4,Rainy,82,"2025-10-03 04:02:44"
197,209,27.5,Cloudy,81,"2025-07-25 00:09:44"
198,210,26.8,Rainy,85,"2025-08-28 06:51:44"
199,211,28.8,Rainy,78,"2025-08-30 05:02:44"
200,212,29.9,Sunny,81,"2025-10-28 01:46:44"
201,213,26.7,Rainy,88,"2025-07-20 04:24:44"
202,214,29.0,Cool,70,"2025-11-08 23:33:44"
203,215,29.4,Rainy,87,"2025-08-17 00:31:44"
204,216,29.6,Rainy,78,"2025-08-07 22:56:44"
205,217,28.2,Cool,70,"2025-11-01 07:18:44"
206,218,28.3,Cloudy,82,"2025-08-03 08:39:44"
207,219,25.8,Cloudy,72,"2025-11-03 06:14:44"
208,220,29.8,Cloudy,81,"2025-07-27 22:36:44"
209,221,26.7,Cloudy,82,"2025-08-31 21:51:44"
210,222,27.4,Rainy,76,"2025-10-19 20:41:44"
211,223,29.4,Cloudy,85,"2025-09-23 04:18:44"
212,224,27.5,Rainy,84,"2025-09-25 19:16:44"
213,225,30.5,Sunny,84,"2025-09-06 03:31:44"
214,226,27.0,Sunny,74,"2025-11-01 07:28:44"
215,227,26.5,Sunny,81,"2025-09-24 05:37:44"
216,228,28.1,Cloudy,88,"2025-06-29 01:51:44"
217,229,25.6,Sunny,78,"2025-11-25 05:40:44"
218,230,30.8,Cloudy,80,"2025-07-22 19:37:44"
219,231,29.6,Sunny,77,"2025-10-06 19:44:44"
220,232,30.0,Rainy,85,"2025-09-25 21:18:44"
221,233,29.6,Rainy,78,"2025-07-18 23:03:44"
222,234,31.0,Rainy,79,"2025-07-17 20:28:44"
223,235,30.2,Rainy,84,"2025-07-11 02:26:44"
224,236,28.1,Sunny,76,"2025-10-13 05:40:44"
225,237,28.0,Cloudy,70,"2025-11-17 08:28:44"
