order_item_id,order_id,product_id,quantity,unit_price,subtotal,variant_selection,note
18,13,4,3,35430,106290,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
19,13,28,1,71592,71592,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
20,13,27,2,61653,123306,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
21,13,15,1,38597,38597,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
22,14,4,2,27269,54538,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
23,14,17,2,30971,61942,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
24,14,15,3,46016,138048,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
25,15,48,3,39866,119598,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
26,16,26,3,26527,79581,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
27,16,11,3,45817,137451,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
28,16,8,2,63880,127760,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
29,16,16,3,68921,206763,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
30,17,3,1,42405,42405,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
31,17,11,3,48423,145269,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
32,17,18,2,29562,59124,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
33,18,1,1,39825,39825,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
34,18,18,1,47697,47697,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
35,18,7,3,30745,92235,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
36,18,19,3,39117,117351,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
37,19,24,3,49929,149787,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
38,19,25,2,36091,72182,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
39,19,9,2,56218,112436,"[{""name"":""Vừa"",""variant_id"":59,""price_adjustment"":0}]",
