id,user_id,product_id,interaction_type,search_query,duration_seconds,created_at
1,24,36,view,NULL,65,"2025-06-27 07:54:44"
2,24,52,view,NULL,75,"2025-06-27 07:50:44"
3,151,39,view,NULL,90,"2025-06-11 05:31:44"
4,125,39,view,NULL,109,"2025-10-22 00:39:44"
5,148,21,view,NULL,82,"2025-10-08 20:02:44"
6,148,59,view,NULL,45,"2025-10-08 20:21:44"
7,19,43,view,NULL,14,"2025-10-10 01:13:44"
8,51,39,view,NULL,46,"2025-08-10 23:00:44"
9,51,54,view,NULL,109,"2025-08-10 23:01:44"
10,146,46,view,NULL,19,"2025-09-10 20:50:44"
11,70,8,view,NULL,120,"2025-09-27 18:49:44"
12,140,13,view,NULL,51,"2025-09-28 06:14:44"
13,106,7,view,NULL,37,"2025-11-02 19:04:44"
14,125,35,view,NULL,92,"2025-09-17 22:00:44"
15,32,22,view,NULL,14,"2025-11-21 23:25:44"
16,32,62,view,NULL,74,"2025-11-21 23:16:44"
17,23,34,view,NULL,75,"2025-08-08 08:02:44"
18,23,61,view,NULL,66,"2025-08-08 08:29:44"
19,139,16,view,NULL,75,"2025-08-06 05:34:44"
20,139,55,view,NULL,67,"2025-08-06 05:40:44"
21,139,46,view,NULL,48,"2025-08-06 05:53:44"
22,59,25,view,NULL,75,"2025-10-19 22:06:44"
23,59,47,view,NULL,48,"2025-10-19 22:08:44"
24,46,32,view,NULL,103,"2025-08-27 08:54:44"
25,46,60,view,NULL,102,"2025-08-27 08:48:44"
26,24,41,view,NULL,74,"2025-06-11 20:07:44"
27,51,29,view,NULL,65,"2025-10-26 21:25:44"
28,167,46,view,NULL,26,"2025-08-20 03:36:44"
29,167,59,view,NULL,91,"2025-08-20 03:25:44"
30,63,18,view,NULL,65,"2025-11-03 21:19:44"
31,63,56,view,NULL,88,"2025-11-03 21:14:44"
32,54,22,view,NULL,48,"2025-11-27 20:04:44"
33,10,12,view,NULL,16,"2025-06-11 08:33:44"
34,145,41,view,NULL,106,"2025-08-15 19:12:44"
35,39,21,view,NULL,61,"2025-10-01 03:25:44"
36,88,28,view,NULL,92,"2025-09-23 18:54:44"
37,131,33,view,NULL,93,"2025-07-01 21:11:44"
38,160,8,view,NULL,100,"2025-06-23 18:33:44"
39,40,38,view,NULL,11,"2025-09-10 08:11:44"
40,66,41,view,NULL,14,"2025-07-16 21:56:44"
41,100,16,view,NULL,63,"2025-09-17 02:27:44"
42,45,5,view,NULL,29,"2025-10-19 06:41:44"
43,37,25,view,NULL,113,"2025-08-06 00:22:44"
44,103,10,view,NULL,42,"2025-09-15 01:27:44"
45,103,61,view,NULL,53,"2025-09-15 01:34:44"
46,89,10,view,NULL,39,"2025-09-19 04:59:44"
47,89,63,view,NULL,107,"2025-09-19 05:01:44"
48,20,33,view,NULL,74,"2025-06-11 07:50:44"
49,20,62,view,NULL,31,"2025-06-11 07:51:44"
50,26,46,view,NULL,108,"2025-10-29 21:01:44"
51,26,63,view,NULL,25,"2025-10-29 20:53:44"
52,64,4,view,NULL,96,"2025-11-28 06:42:44"
53,129,43,view,NULL,110,"2025-08-02 08:34:44"
54,59,45,view,NULL,65,"2025-09-06 02:11:44"
55,59,62,view,NULL,116,"2025-09-06 02:22:44"
56,84,18,view,NULL,45,"2025-06-24 00:17:44"
57,171,2,view,NULL,46,"2025-10-02 05:54:44"
58,146,32,view,NULL,103,"2025-07-12 03:23:44"
59,37,27,view,NULL,59,"2025-12-02 05:04:44"
60,87,16,view,NULL,36,"2025-08-06 01:29:44"
61,80,32,view,NULL,49,"2025-11-18 21:36:44"
62,106,2,view,NULL,108,"2025-07-31 00:18:44"
63,41,35,view,NULL,35,"2025-07-23 18:51:44"
64,41,49,view,NULL,71,"2025-07-23 19:10:44"
65,62,45,view,NULL,20,"2025-06-07 03:19:44"
66,62,59,view,NULL,40,"2025-06-07 03:19:44"
67,91,31,view,NULL,84,"2025-09-08 00:56:44"
68,91,59,view,NULL,45,"2025-09-08 00:44:44"
69,126,46,view,NULL,10,"2025-09-26 19:50:44"
70,21,41,view,NULL,16,"2025-10-08 22:52:44"
71,161,46,view,NULL,120,"2025-11-14 21:14:44"
72,130,17,view,NULL,11,"2025-10-16 21:13:44"
73,130,56,view,NULL,116,"2025-10-16 21:22:44"
74,96,10,view,NULL,112,"2025-08-21 22:54:44"
75,96,55,view,NULL,72,"2025-08-21 23:03:44"
76,101,23,view,NULL,32,"2025-07-13 23:08:44"
77,101,47,view,NULL,32,"2025-07-13 23:13:44"
78,101,17,view,NULL,116,"2025-07-13 23:06:44"
79,35,45,view,NULL,45,"2025-06-15 07:33:44"
80,35,63,view,NULL,91,"2025-06-15 07:39:44"
81,162,42,view,NULL,16,"2025-09-02 21:20:44"
82,162,55,view,NULL,57,"2025-09-02 21:30:44"
83,162,65,view,NULL,113,"2025-09-02 21:16:44"
84,127,32,view,NULL,57,"2025-08-20 21:24:44"
85,112,30,view,NULL,29,"2025-08-09 18:56:44"
86,129,16,view,NULL,72,"2025-11-13 23:29:44"
87,160,24,view,NULL,93,"2025-08-30 05:03:44"
88,160,49,view,NULL,42,"2025-08-30 05:21:44"
89,160,23,view,NULL,31,"2025-08-30 05:10:44"
90,82,44,view,NULL,75,"2025-11-19 08:10:44"
91,63,9,view,NULL,65,"2025-10-17 05:21:44"
92,77,36,view,NULL,67,"2025-06-11 19:54:44"
