id,order_id,temperature,weather_condition,humidity,recorded_at
1,13,28.5,Cloudy,85,"2025-06-27 08:09:44"
2,14,27.7,Hot,82,"2025-06-11 05:51:44"
3,15,25.2,Cloudy,83,"2025-10-22 01:02:44"
4,16,29.1,Sunny,77,"2025-10-08 20:32:44"
5,17,29.2,Cloudy,78,"2025-10-10 01:34:44"
6,18,27.4,Cloudy,79,"2025-08-10 23:12:44"
7,19,27.2,Rainy,78,"2025-09-10 20:53:44"
8,20,26.2,Sunny,85,"2025-09-27 19:04:44"
9,21,26.4,Cloudy,79,"2025-06-14 03:46:44"
10,22,28.1,Cloudy,83,"2025-09-28 06:18:44"
11,23,26.4,Cloudy,80,"2025-06-19 08:21:44"
