id,user_id,product_id,interaction_type,search_query,duration_seconds,created_at
1,24,36,view,NULL,65,"2025-06-27 07:54:44"
2,24,52,view,NULL,75,"2025-06-27 07:50:44"
3,151,39,view,NULL,90,"2025-06-11 05:31:44"
4,125,39,view,NULL,109,"2025-10-22 00:39:44"
5,148,21,view,NULL,82,"2025-10-08 20:02:44"
6,148,59,view,NULL,45,"2025-10-08 20:21:44"
7,19,43,view,NULL,14,"2025-10-10 01:13:44"
8,51,39,view,NULL,46,"2025-08-10 23:00:44"
9,51,54,view,NULL,109,"2025-08-10 23:01:44"
10,146,46,view,NULL,19,"2025-09-10 20:50:44"
11,70,8,view,NULL,120,"2025-09-27 18:49:44"
12,140,13,view,NULL,51,"2025-09-28 06:14:44"
13,106,7,view,NULL,37,"2025-11-02 19:04:44"
14,125,35,view,NULL,92,"2025-09-17 22:00:44"
15,32,22,view,NULL,14,"2025-11-21 23:25:44"
