order_id,user_id,store_id,created_at,delivery_type,product_id,quantity,product_name,category_id,category_name,drink_type,temperature,has_caffeine,has_milk,weather_temp,weather_condition,humidity,hour,day_of_week,month
1327,78,10,2025-12-03 06:25:44,delivery,24,2,Cà Phê Sữa Nóng,5,"""PHIN"" VIỆT NAM",coffee,hot,1,1,25.7,Cool,67,6,2,12
1327,78,10,2025-12-03 06:25:44,delivery,56,2,Mousse Tiramisu,11,BÁNH NGỌT,food,cold,1,1,25.7,Cool,67,6,2,12
118,48,12,2025-12-03 03:16:44,takeaway,41,2,Hồng Trà Sữa Nóng,9,TRÀ SỮA,tea,hot,1,1,22.9,Cool,72,3,2,12
118,48,12,2025-12-03 03:16:44,takeaway,53,2,Mochi Kem Việt Quất,11,BÁNH NGỌT,food,cold,0,1,22.9,Cool,72,3,2,12
1109,130,14,2025-12-03 01:18:44,delivery,23,2,Cà Phê Đen Nóng,5,"""PHIN"" VIỆT NAM",coffee,hot,1,0,22.4,Cloudy,69,1,2,12
812,119,7,2025-12-02 23:21:44,dine-in,16,2,Latte Nóng,3,LATTE,coffee,hot,1,1,23.0,Cool,66,23,1,12
812,119,7,2025-12-02 23:21:44,dine-in,59,1,Bánh Mì Que Chà Bông Phô Mai Bơ Cay,12,BÁNH MẶN,food,hot,0,1,23.0,Cool,66,23,1,12
975,122,12,2025-12-02 19:10:44,dine-in,45,2,Chocolate Đá,10,CHOCOLATE,chocolate,cold,0,1,27.2,Cool,67,19,1,12
1320,51,7,2025-12-02 18:29:44,takeaway,33,2,Matcha Latte,7,MATCHA TÂY BẮC,tea,cold,0,1,25.7,Sunny,69,18,1,12
1320,51,7,2025-12-02 18:29:44,takeaway,47,1,Butter Croissant Sữa Đặc,11,BÁNH NGỌT,food,room,0,1,25.7,Sunny,69,18,1,12
832,84,13,2025-12-02 18:13:44,takeaway,41,1,Hồng Trà Sữa Nóng,9,TRÀ SỮA,tea,hot,1,1,24.4,Cool,66,18,1,12
731,26,13,2025-12-02 08:33:44,takeaway,3,1,Cappuccino Đá,1,ESPRESSO,coffee,cold,1,1,25.0,Cool,66,8,1,12
731,26,13,2025-12-02 08:33:44,takeaway,58,2,Butter Croissant,12,BÁNH MẶN,food,room,0,1,25.0,Cool,66,8,1,12
777,131,8,2025-12-02 07:58:44,takeaway,11,2,Americano Nóng,2,AMERICANO,coffee,hot,1,0,23.5,Sunny,74,7,1,12
1032,42,1,2025-12-02 07:55:44,takeaway,1,2,Espresso Nóng,1,ESPRESSO,coffee,hot,1,0,24.8,Cool,73,7,1,12
1032,42,1,2025-12-02 07:55:44,takeaway,54,2,Mochi Kem Chocolate,11,BÁNH NGỌT,food,cold,0,1,24.8,Cool,73,7,1,12
1348,44,8,2025-12-02 07:36:44,delivery,6,2,Caramel Macchiato Nóng,1,ESPRESSO,coffee,hot,1,1,27.9,Cool,73,7,1,12
1388,140,4,2025-12-02 06:32:44,dine-in,23,2,Cà Phê Đen Nóng,5,"""PHIN"" VIỆT NAM",coffee,hot,1,0,25.6,Cool,75,6,1,12
71,37,1,2025-12-02 05:07:44,dine-in,27,2,Cold Brew Truyền Thống,6,COLD BREW,coffee,cold,1,0,27.6,Sunny,73,5,1,12
1406,165,13,2025-12-02 00:58:44,takeaway,31,1,Matcha Latte Tây Bắc Sữa Yến Mạch (Nóng),7,MATCHA TÂY BẮC,tea,hot,0,1,23.9,Cloudy,69,0,1,12
1406,165,13,2025-12-02 00:58:44,takeaway,50,2,Mít Sấy,11,BÁNH NGỌT,food,room,0,0,23.9,Cloudy,69,0,1,12
1406,165,13,2025-12-02 00:58:44,takeaway,23,1,Cà Phê Đen Nóng,5,"""PHIN"" VIỆT NAM",coffee,hot,1,0,23.9,Cloudy,69,0,1,12
1119,102,3,2025-12-01 23:30:44,takeaway,4,1,Cappuccino Nóng,1,ESPRESSO,coffee,hot,1,1,25.3,Cool,73,23,0,12
1119,102,3,2025-12-01 23:30:44,takeaway,53,1,Mochi Kem Việt Quất,11,BÁNH NGỌT,food,cold,0,1,25.3,Cool,73,23,0,12
1003,109,12,2025-12-01 23:13:44,takeaway,23,2,Cà Phê Đen Nóng,5,"""PHIN"" VIỆT NAM",coffee,hot,1,0,23.3,Cloudy,69,23,0,12
1003,109,12,2025-12-01 23:13:44,takeaway,56,1,Mousse Tiramisu,11,BÁNH NGỌT,food,cold,1,1,23.3,Cloudy,69,23,0,12
616,146,6,2025-12-01 08:13:44,takeaway,32,2,Matcha Latte Tây Bắc Sữa Yến Mạch,7,MATCHA TÂY BẮC,tea,cold,0,1,27.5,Cloudy,70,8,0,12
1208,118,7,2025-12-01 07:10:44,dine-in,44,2,Trà Sữa Oolong BLao,9,TRÀ SỮA,tea,cold,1,1,25.8,Sunny,66,7,0,12
887,59,12,2025-12-01 05:01:44,delivery,11,1,Americano Nóng,2,AMERICANO,coffee,hot,1,0,23.2,Sunny,69,5,0,12
604,70,9,2025-12-01 00:50:44,dine-in,26,1,Cà Phê Sữa Đá,5,"""PHIN"" VIỆT NAM",coffee,cold,1,1,26.3,Cool,70,0,0,12
604,70,9,2025-12-01 00:50:44,dine-in,62,1,Croissant trứng muối,12,BÁNH MẶN,food,hot,0,1,26.3,Cool,70,0,0,12
1203,139,11,2025-12-01 00:11:44,takeaway,46,2,Chocolate Nóng,10,CHOCOLATE,chocolate,hot,0,1,24.5,Cloudy,72,0,0,12
1166,106,12,2025-11-30 22:27:44,takeaway,11,1,Americano Nóng,2,AMERICANO,coffee,hot,1,0,27.8,Sunny,73,22,6,11
1166,106,12,2025-11-30 22:27:44,takeaway,26,2,Cà Phê Sữa Đá,5,"""PHIN"" VIỆT NAM",coffee,cold,1,1,27.8,Sunny,73,22,6,11
939,147,7,2025-11-30 08:54:44,takeaway,10,1,A-Mê Thanh Yên,2,AMERICANO,coffee,cold,1,0,26.2,Cool,72,8,6,11
939,147,7,2025-11-30 08:54:44,takeaway,61,1,Bánh Mì Que Pate Cột Đèn,12,BÁNH MẶN,food,hot,0,0,26.2,Cool,72,8,6,11
939,147,7,2025-11-30 08:54:44,takeaway,21,1,Bạc Xỉu,5,"""PHIN"" VIỆT NAM",coffee,cold,1,1,26.2,Cool,72,8,6,11
920,55,9,2025-11-30 07:44:44,takeaway,36,2,Trà Đào Cam Sả - Đá,8,TRÀ TRÁI CÂY,tea,cold,1,0,27.5,Cloudy,71,7,6,11
920,55,9,2025-11-30 07:44:44,takeaway,63,1,Chà Bông Phô Mai,12,BÁNH MẶN,food,room,0,1,27.5,Cloudy,71,7,6,11
172,60,4,2025-11-30 04:30:44,takeaway,38,1,Oolong Tứ Quý Sen,8,TRÀ TRÁI CÂY,tea,cold,1,1,25.4,Cool,80,4,6,11
381,132,1,2025-11-30 03:07:44,delivery,46,2,Chocolate Nóng,10,CHOCOLATE,chocolate,hot,0,1,26.8,Cool,72,3,6,11
381,132,1,2025-11-30 03:07:44,delivery,62,2,Croissant trứng muối,12,BÁNH MẶN,food,hot,0,1,26.8,Cool,72,3,6,11
649,29,13,2025-11-30 02:21:44,takeaway,13,2,Latte Classic,3,LATTE,coffee,cold,1,1,28.2,Cloudy,76,2,6,11
322,54,10,2025-11-29 23:07:44,takeaway,45,1,Chocolate Đá,10,CHOCOLATE,chocolate,cold,0,1,24.6,Cool,70,23,5,11
343,43,4,2025-11-29 19:51:44,dine-in,14,1,Latte Bạc Xỉu,3,LATTE,coffee,cold,1,1,26.3,Cool,76,19,5,11
10,12,1,2025-11-29 14:15:00,delivery,13,2,Latte Classic,3,LATTE,coffee,cold,1,1,28.0,Unknown,75,14,5,11
9,11,1,2025-11-29 09:00:00,takeaway,29,2,Matcha Latte Tây Bắc,7,MATCHA TÂY BẮC,tea,cold,0,1,28.0,Unknown,75,9,5,11
1394,58,6,2025-11-29 08:08:44,dine-in,34,2,Matcha Tây Bắc Trân Châu Hoàng Kim,7,MATCHA TÂY BẮC,tea,cold,0,1,28.6,Cool,76,8,5,11
1394,58,6,2025-11-29 08:08:44,dine-in,56,1,Mousse Tiramisu,11,BÁNH NGỌT,food,cold,1,1,28.6,Cool,76,8,5,11
973,51,13,2025-11-29 02:49:44,takeaway,25,2,Cà Phê Đen Đá,5,"""PHIN"" VIỆT NAM",coffee,cold,1,0,27.4,Cloudy,78,2,5,11
973,51,13,2025-11-29 02:49:44,takeaway,36,2,Trà Đào Cam Sả - Đá,8,TRÀ TRÁI CÂY,tea,cold,1,0,27.4,Cloudy,78,2,5,11
493,16,9,2025-11-29 02:20:44,takeaway,16,1,Latte Nóng,3,LATTE,coffee,hot,1,1,28.0,Cool,74,2,5,11
493,16,9,2025-11-29 02:20:44,takeaway,53,1,Mochi Kem Việt Quất,11,BÁNH NGỌT,food,cold,0,1,28.0,Cool,74,2,5,11
145,166,3,2025-11-29 00:50:44,delivery,16,1,Latte Nóng,3,LATTE,coffee,hot,1,1,25.0,Sunny,79,0,5,11
