order_id,user_id,store_id,total_price,status,created_at,updated_at,delivery_type,shipping_address
1,8,1,125000.00,completed,"2025-11-25 10:30:00","2025-11-25 11:00:00",takeaway,NULL
2,10,1,89000.00,completed,"2025-11-25 14:20:00","2025-11-25 14:50:00",takeaway,NULL
3,11,2,156000.00,completed,"2025-11-26 09:15:00","2025-11-26 09:45:00",delivery,"123 Đường D1, Q9"
4,8,1,65000.00,completed,"2025-11-26 16:30:00","2025-11-26 17:00:00",takeaway,NULL
5,12,3,98000.00,completed,"2025-11-27 11:00:00","2025-11-27 11:30:00",dine-in,NULL
6,13,1,145000.00,completed,"2025-11-27 15:45:00","2025-11-27 16:15:00",takeaway,NULL
7,10,2,79000.00,completed,"2025-11-28 10:20:00","2025-11-28 10:50:00",delivery,"456 Hoàng Diệu 2"
8,8,1,189000.00,completed,"2025-11-28 13:30:00","2025-11-28 14:00:00",takeaway,NULL
9,11,1,95000.00,completed,"2025-11-29 09:00:00","2025-11-29 09:30:00",takeaway,NULL
10,12,1,110000.00,completed,"2025-11-29 14:15:00","2025-11-29 14:45:00",delivery,"789 Lê Văn Việt"
11,8,1,75000.00,pending,"2025-11-30 10:00:00","2025-11-30 10:00:00",takeaway,NULL
12,10,2,45000.00,cancelled,"2025-11-29 16:00:00","2025-11-29 16:30:00",takeaway,NULL
13,21,1,70000.00,pending,"2025-11-30 17:07:32","2025-11-30 17:07:32",NULL,NULL
14,21,4,45000.00,pending,"2025-11-30 17:18:50","2025-11-30 17:18:50",NULL,NULL
15,21,4,65000.00,pending,"2025-11-30 17:24:26","2025-11-30 17:24:26",NULL,NULL
16,21,4,50000.00,pending,"2025-11-30 17:59:24","2025-11-30 17:59:24",NULL,NULL
17,21,2,50000.00,pending,"2025-11-30 18:11:15","2025-11-30 18:11:15",NULL,NULL
18,21,2,50000.00,pending,"2025-11-30 18:11:16","2025-11-30 18:11:16",NULL,NULL
19,21,4,50000.00,pending,"2025-11-30 18:23:10","2025-11-30 18:23:10",NULL,NULL
20,21,2,49000.00,cancelled,"2025-11-30 19:13:01","2025-11-30 19:13:19",NULL,NULL
21,21,4,45000.00,pending,"2025-11-30 20:20:15","2025-11-30 20:20:15",takeaway,NULL
22,21,4,50000.00,pending,"2025-11-30 21:15:35","2025-11-30 21:15:35",takeaway,NULL
23,21,4,105000.00,cancelled,"2025-11-30 21:29:11","2025-11-30 22:36:11",takeaway,NULL
24,21,4,312000.00,cancelled,"2025-11-30 22:21:41","2025-11-30 22:38:05",takeaway,NULL
25,21,4,45000.00,cancelled,"2025-11-30 22:49:07","2025-11-30 22:50:18",takeaway,NULL
26,21,4,70000.00,cancelled,"2025-11-30 22:49:38","2025-11-30 23:20:13",takeaway,NULL
